"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C1","CAPC1608N","11.95mm","-42.6mm","11.95mm","-42.6mm","11.1mm","-42.6mm","T","360.00","100nF"
"C2","CAPC1608N","20.75mm","-31.5mm","20.75mm","-31.5mm","20.75mm","-32.35mm","T","90.00","100nF"
"C3","CAPC1608N","16.425mm","-23.275mm","16.425mm","-23.275mm","17.275mm","-23.275mm","T","180.00","100nF"
"C4","CAPC1608N","16.425mm","-25.175mm","16.425mm","-25.175mm","17.275mm","-25.175mm","T","180.00","100nF"
"C5","CAPC1608N","4mm","-34.85mm","4mm","-34.85mm","4mm","-35.7mm","T","90.00","100nF"
"C6","CAPC1608N","20.75mm","-36mm","20.75mm","-36mm","20.75mm","-35.15mm","T","270.00","100nF"
"C7","CAPC1608N","13.65mm","-21.6mm","13.65mm","-21.6mm","14.5mm","-21.6mm","T","180.00","20pF"
"C8","CAPC1608N","9.35mm","-21.6mm","9.35mm","-21.6mm","10.2mm","-21.6mm","T","180.00","20pF"
"C9","CAPC2012N","2.1mm","-30.2mm","2.1mm","-30.2mm","2.1mm","-29.25mm","T","270.00","10uF"
"C10","CAPC1608N","3.992mm","-30.305mm","3.992mm","-30.305mm","3.992mm","-31.155mm","T","90.00","1uF"
"C11","CAPC2012N","32.5mm","-35.65mm","32.5mm","-35.65mm","32.5mm","-36.6mm","T","90.00","10uF"
"C12","CAPC2012N","37.5464mm","-19.2812mm","37.5464mm","-19.2812mm","37.5464mm","-20.2312mm","T","90.00","10uF"
"C13","CAPC2012N","29.15mm","-24.3mm","29.15mm","-24.3mm","30.1mm","-24.3mm","T","180.00","10uF"
"C14","CAPC1608N","32.692mm","-28.805mm","32.692mm","-28.805mm","32.692mm","-29.655mm","T","90.00","1uF"
"C15","CAPC1608N","27.392mm","-28.805mm","27.392mm","-28.805mm","27.392mm","-29.655mm","T","90.00","100nF"
"D1_LED0","LED_0805","37.9mm","-3.9mm","37.9mm","-3.9mm","37.9mm","-4.85mm","T","90.00","Green LED"
"D1_LED1","LED_0805","33.2mm","-3.9mm","33.2mm","-3.9mm","33.2mm","-4.85mm","T","90.00","Green LED"
"D1_LED2","LED_0805","9.1mm","-3.9mm","9.1mm","-3.9mm","9.1mm","-4.85mm","T","90.00","Green LED"
"D1_LED3","LED_0805","3.7mm","-3.9mm","3.7mm","-3.9mm","3.7mm","-4.85mm","T","90.00","Green LED"
"D2","SMA/DO-214AC_21","37.6mm","-36.145mm","37.6mm","-36.145mm","37.6mm","-37.49mm","T","90.00","GF1A"
"D3","SMA/DO-214AC_21","27.7mm","-36.045mm","27.7mm","-36.045mm","27.7mm","-37.39mm","T","90.00","GF1A"
"D4","LED_0805","24mm","-35.55mm","24mm","-35.55mm","24mm","-34.6mm","T","270.00","Green LED"
"FB1","INDC1608AN","30.0027mm","-27.8984mm","30.0027mm","-27.8984mm","30.8527mm","-27.8984mm","T","180.00","600r"
"J1","RJ12_90","9.275mm","-48.17mm","15.88mm","-45.2mm","6.1mm","-46.9mm","T","270.00","Program / Debug"
"P1","PHOENIX_1985195","36.35mm","-46.4mm","34.6mm","-43.9mm","38.1mm","-48.9mm","T","360.00","MAIN"
"P2","PHOENIX_1985195","27.15mm","-46.3mm","25.4mm","-43.8mm","28.9mm","-48.8mm","T","360.00","BAT."
"R1","PDB181-K415K-102A2","20.5mm","-3.7mm","25.5mm","-3.7mm","25.5mm","-3.7mm","T","180.00","1K"
"R2_LED0","RESC1608N","37.9mm","-8.2mm","37.9mm","-8.2mm","37.9mm","-7.35mm","T","270.00","330r"
"R2_LED1","RESC1608N","33.2mm","-8.2mm","33.2mm","-8.2mm","33.2mm","-7.35mm","T","270.00","330r"
"R2_LED2","RESC1608N","9.1mm","-8.2mm","9.1mm","-8.2mm","9.1mm","-7.35mm","T","270.00","330r"
"R2_LED3","RESC1608N","3.7mm","-8.2mm","3.7mm","-8.2mm","3.7mm","-7.35mm","T","270.00","330r"
"R3","RESC1608N","8.1mm","-42.6mm","8.1mm","-42.6mm","8.95mm","-42.6mm","T","180.00","4.7k"
"R4","RESC1608N","24mm","-29.85mm","24mm","-29.85mm","24mm","-30.7mm","T","90.00","470r"
"U1","QFP50P1200X1200X120-64","12.25mm","-33.6mm","8.5mm","-39.3mm","8.5mm","-39.3mm","T","90.00","PIC32MX764F128H-I/PT"
"U2","TD03B_N","29.7mm","-18.3mm","33.3mm","-16.05mm","33.3mm","-20.55mm","T","90.00","AP1117"
"Y1","HC49/4H_SMX_CRYSTAL","12.25mm","-16.75mm","12.25mm","-16.75mm","7.5mm","-16.75mm","T","360.00","8MHz"

